Identifiant_Site,Nom_Site,cluster
300015390,Quend Avenue Renard,2
300015393,Digue de la Gaité,3
300015399,BOURGES - 18000,3
300015400,St-Amand-Montrond - 18200,3
300015401,Le Hourdel,2
300015402,La Mollière,2
300015404,Gebasom,2
300015405,La Bassée,1
300015406,Parc du Marquenterre,2
300015419,EV4 Perros Guirec,2
300015531,Totem Mulhouse,1
300015580,L'épine,0
300015581,La houssiniere,2
300015582,noirmoutier,0
300015685,St Etienne les Orgues,3
300015692,V_Pont l Evêque,2
300015694,EV1 Bon Repos,2
300015700,APT GARE (EV8) Multi P/V,0
300015701,Brégoux (Venaissia),3
300015702,Carpentras Lira (Via Venaissia),2
300015703,Mondragon,2
300015712,Champagnole,2
300015713,Molay,2
300015714,Salins les Bains,2
300015776,Lyon 5_Quai P.Scize_Entre passerelle_ID312-313_,1
300015781,Col de Saint Ignace,3
300015783,POURTALET,2
300015819,Bernay,3
300015820,Berville sur Mer,2
300015821,Le Neubourg,2
300015836,123 Avenue Aristide Briand,1
300015837,139 rue Etienne Marcel,1
300015840,15 av Pasteur vers Chavaux,1
300015841,16 Avenue Gabriel PERI,1
300015842,Av Pasteur vers A3,1
300015923,Pont Daoulas,2
300015924,Pont Coblant,2
300015931,Voie Verte Courniou,3
300015932,Voie Verte Hérépian,2
300015933,Voie Verte Le Poujol,2
300015934,Voie Verte Premian,2
300015935,Voie Verte Villemagne,2
300015941,Faverges,2
300016017,Villeurbanne_Genas_C.Lacouture_ID1603-1604_,1
300016087,Lyon 6_Lafayette_Lalande_Pont SNCF_ID2147-2148_,1
300016088,Lyon 3_Part-Dieu_Guichard_ID526-52_Eco-Display_,1
300016113,Lyon 3_Flandin_F.Faure_Hachette_ID469-470,1
300016128,(Grenoble) Rue Léo Lagrange - Gre2,1
300016129,(Grenoble) Cours Lafontaine / Afficheur,1
300016130,(Echirolles) rue Victor Hugo,1
300016140,Villeurbanne_E.Zola_H.Barbusse_ID1605-1606_,1
300016141,Villeurbanne_11 Novembre_Rossellini_ID467-468_,1
300016152,pont de mauves,3
300016189,Bréançon,3
300016190,Gouzangrez,3
300016191,Valmondois,3
300016223,TOTEM Villeneuve Loubet,3
300016225,RD 98 VALBONNE,1
300016226,RD 504 BIOT,1
300016228,Voie Verte RD60 Bray-Dunes,2
300016229,Rue du Banc-vert DP903-01 (vers av Desmidt),0
300016230,Rue du Banc-vert DP903-02 (vers av de la Villette),0
300016231,Voie verte Rue des Forts,3
300016232,Voie verte S9 Leffrinckoucke,2
300016233,Pont Appilly,3
300016241,Réseau Vert 02 - Nord Assas,3
300016276,Vénissieux_Vienne_L.Bonnevay_ID1596-1597_,1
300016299,Cours_Des_50_Otages_Sud (CV0785-CV0786),1
300016301,Chaussée de la Madeleine (CV0880-CV0881),1
300016302,Bd Malakoff vers Ouest (CV0947),1
300016303,Bd Malakoff vers Est (CV0948),1
300016305,Rte des Sorinières vers Sud (CV0959),1
300016306,Rte des Sorinières vers Nord (CV0960),1
300016307,Quai Ceneray vers Est (CV0994),1
300016308,Quai Ceneray vers Ouest (CV0995),1
300016309,Van Iseghem vers Nord (CV0996),1
300016310,Van Iseghem vers Sud (CV0997),1
300016311,Tremie vers Ouest (CV0986),1
300016312,Kennedy vers Est (CV0988),1
300016313,Kennedy vers Ouest (CV0989),1
300016314,Pont de Pirmil (CV0890),1
300016315,Pont Tabarly vers Sud (CV0725) - Trottoir,1
300016316,Pont Tabarly vers Sud (CV0980) Piste,1
300016317,Pont Tabarly vers Nord (CV0981) Trottoir,1
300016320,Tremie vers Est (CV0987),1
300016321,Pont Tabarly vers Nord (CV0727) Piste,1
300016332,Lyon 4_Tunnel Crx Rousse_Saone_ID1149-1150_Totem 3G_,1
300016348,EV8/PIRINEXUS - le Boulou - Vélos,3
300016358,EV8/V81 - Le Barcarès - Vélos,3
300016385,Strasbourg | Rue du Faubourg de Pierre,1
300016387,Strasbourg | Quai Pasteur,1
300016388,Strasbourg | Allée du Schluthfeld,1
300016389,Strasbourg | Place du Corbeau,1
300016390,Strasbourg | Rue Edmond Michelet,1
300016391,Strasbourg | Rue Alfred Kastler,1
300016392,Strasbourg | Quai Marc Bloch,1
300016393,Strasbourg | Route des Romains Nord,1
300016394,Strasbourg | Rue du Rempart,1
300016395,Strasbourg | Route des Romains Sud,1
300016396,Strasbourg | Rue de Saales,1
300016397,Strasbourg | Place de Haguenau,1
300016398,Strasbourg | Avenue Herrenschmidt (côté Hilton),1
300016399,Strasbourg | Avenue Herrenschmidt (côté PMC),1
300016401,Strasbourg | Rue de l'Eglise Rouge,1
300016402,Bias,3
300016403,Strasbourg | Place de Haguenau (Kablé/Bischwiller),1
300016404,Boé,2
300016405,Le Passage,2
300016406,meilhan,2
300016407,Villeton,2
300016408,Strasbourg | Avenue de la Forêt-Noire,1
300016409,Strasbourg | Chemin Goeb,1
300016410,Strasbourg | Avenue de l'Europe,1
300016411,Strasbourg | Avenue de l'Europe (devant Conseil de l'Europe),1
300016412,Strasbourg | Voie TRAM (hauteur rue des Jardiniers),1
300016413,Strasbourg | Voie TRAM (hauteur rue Médiane),1
300016415,Strasbourg | Rue du Rhin Tortu,1
300016417,Strasbourg | Rue du Rhin Tortu (hauteur cimetière),1
300016418,Strasbourg | Av.Rhin (coté Rhin Napoléon),1
300016419,Strasbourg | Av. Rhin (coté Petit Rhin),1
300016420,Strasbourg | Rue du Rhin Napoléon / Av. Rhin,1
300016422,Strasbourg | Route du Polygone,1
300016423,Strasbourg | Rue du Doubs,1
300016424,Strasbourg | Rue de la Plaine des Bouchers,1
300016425,Strasbourg | Rue de la Montagne-Verte,1
300016426,Strasbourg | Piste Jean Robic,1
300016427,Strasbourg | Route d'Oberhausbergen (SDIS),1
300016428,Strasbourg | Route d'Oberhausbergen (DDT),1
300016436,Strasbourg | Petite Rue des Magasins,1
300016439,Strasbourg | Piste Maurice Garin,1
300016440,Strasbourg | Route de Brumath,1
300016441,Strasbourg | Rue du 23 Novembre,1
300016443,Strasbourg | Rue Ettore Bugatti,1
300016444,Strasbourg | Route de Hausbergen,1
300016488,Lyon 9_Pont R.Schuman_ID1051-1052_,1
300016489,Lyon 9_Passerelle Masaryk_ID1053-1054_,1
300016490,Lyon 9_Bourbonnais_Apollinaire_ID1787-1788_,1
300016509,Lyon 2_Pont Kitchener Marchand_ID1157-1158_3G_,1
300016524,Manosque,3
300016573,Lyon 1_Pont Général Koenig_ID1159-1160_3G_,1
300016620,Massieux,3
300016621,Trevoux,3
300016677,D19 BEDOIN,2
300017188,Lyon 6_Pont Morand_EcoDisplay_ID552-553,1
300017198,Jouy aux Arches,2
300017199,Sarreguemines,2
300017331,Lyon 2_Delandine_Belier_ID1789-1790_3G,1
300017431,EV3 - voie verte de l'Avesnois - Ferriere La Petite ,3
300017432,EV3 - voie verte de l'Avesnois - Liessies,3
300017433,EV3 – voie verte de l’Avesnois – Solre-Le-Château,3
300017435,EV3 - voie verte de l'Avesnois - Trelon,2
300017438,voie verte de la Pévèle - Bersée,3
300017439,voie verte de la Pévèle - Mons-en-Pévèle,3
300017529,RN2 Voie Verte du Grand Hazier ,1
300017609,Briare_Pont SNCF,3
300017731,Boulevard Heurteloup,0
300017732,Fondettes - itinéraire #9,0
300017733,Pont d'Arcole #2,1
300017734,Bld Charles de Gaulle,1
300017735,Rue d'Entraigues,1
300017736,Rue de Buffon,1
300017737,Rue Edouard Vaillant,1
300017804,Falaise Bloucard,2
300017942,Bordeaux | 155 Avenue François Mitterrand,1
300018056,Bordeaux | Boulevard Antoine Gautier,1
300018057,Bordeaux | 49 rue des Griffons,1
300018058,Bordeaux | Pont de Pierre,1
300018062,Bordeaux | 27 Cours Clémenceau,1
300018068,Bordeaux | 9 Quai de la Souys,1
300018070,Bordeaux | 21 Cours du Général De Gaulle,1
300018071,Bordeaux | 34 Avenue de Paris,1
300018072,Bordeaux | 19 Avenue Jean Zay,1
300018074,Bordeaux | Avenue Thouars - Marne,1
300018075,Bordeaux | Avenue de Magudas,1
300018077,Bordeaux | Bd Pompidou - Rue Larminat - Barrière Ornano,1
300018813,EV4-Wissant,2
300018814,EV5-Aire sur la Lys,3
300018815,EV5-HERSIN-coupigny,3
300018816,EV5-Base de loisirs d'Olhain,3
300018817,EV5-Guines,3
300018932,av des belges droite,0
300018933,Av des belges gauche,1
300018934,Avenue Schuman,0
300018935,EDCompact Casino,1
300019050,V_Vierville,2
300019359,Bourg-Philippe - CHEMAZÉ,3
300019498,013 VV Brillevast,3
300019499,012 VV Pouppeville,2
300019558,Salignac,3
300019559,Font-Belle,3
300019560,Saint-Paul,3
300019591,Gazagnaire 2,3
300019592,Alexandre III - OE,0
300019593,Midi - Verrerie,0
300019735,Magné velo francette,3
300019830,VIERZON,3
300019904,Flavigny-sur-Moselle,2
300019905,Gripport,2
300019906,Liverdun,2
300019907,Parroy,2
300020025,Flow Crazannes,2
300020235,Lac_Kir,3
300020236,Strasbourg,1
300020244,promenade sevigné,0
300020245,albert sorel,1
300020248,RD620 Aire de repos,2
300020418,Availles,2
300020419,Dange,3
300020420,Valdivienne,3
300020423,Bd de la Republique - Grand Fort,3
300020528,Place Matabiau,1
300020529,Port St Etienne,1
300020805,Point 0 #2,1
300020825,CC Pilat Rhodanien VERIN,2
300020828,Azay-sur-Cher,3
300020920,Bron_F.Roosevelt_L.Bonnevay_ID641-642_,1
300020997,Ligne,3
300020998,Vay,3
300021002,Lyon 6_Vauban_Viabert_Thiers_ID550-551_EVO,1
300021003,Lyon 7_Yves Farge_Lagrange_ID658-659_EVO_,1
300021034,Hauconcourt,1
300021047,Billieme,2
300021048,St-Alban-De-Montbel,2
300021084,Raon l'Etape,2
300021107,Villeurbanne_J.Bertin_Poudrette_ID643-644,1
300021168,Lyon 4_Canuts_Montée de la Boucle_ID649-650,1
300021179,Canal PPB,3
300021181,Rue des Frênes,0
300021311,Seyssel,2
300021326,Aérodrome,1
300021354,Lyon 2_Trémie Ouest de Perrache_ID310-311_EVO_,1
300021365,Le Net,2
300021366,Pen Cadenic,3
300021367,porzh kerviche,3
300021413,Lyon 8_Etats Unis_Cazeneuve_ID465-466,1
300021414,Lyon 7_Pont de L'Université_ID1151-1152_3G,1
300021415,Bron_Ch des Balmes_F.Forest_ID1163-1164_3G,1
300021427,Lyon 7_P.Duvivier_Vienne_ID463-464_EVO_,1
300021432,Av. P.G Latécoère (Blagnac) - intersection rue Vélasquez,1
300021433,Boulevard Yves Brunaud (Colomiers),1
300021434,RM1 (Cornebarrieu) -giratoire avec RM63e,1
300021470,V_Coupesarte,3
300021471,V_Grand Champ le Château,3
300021491,Airbus St-Martin - Giratoire de la Crabe,1
300021509,Jargeau,3
300021729,Lyon 3_Paul Bert_V.Merle_Pont SNCF_ID1637-1638_EVO,1
300021762,Bousse,3
300021842,Avenue des Bordées Voie Verte,3
300021843,Quai aux Fleurs,0
300021979,Lac du Jaunay,3
300022006,Base Nautique Le Goisil - La Couarde - Ile de Ré,2
300022007,Le Martray - Ars - Ile de Ré,2
300022008,Sablanceaux - Rivedoux - Ile de Ré,2
300022041,Chemin de halage Cormoranche-sur-Saône,3
300022042,Grièges RD51,2
300022043,Cagnes sur Mer - Allée des Tilleuls,0
300022077,St Laurent du Var - Av. Guynemer,2
300022078,Nice - Av. Thiers,1
300022079,Cagnes sur Mer - Promenade de la Plage,0
300022080,Carros - 1ère Avenue,3
300022081,Gattières - Allée des Maraîchers,3
300022085,Nice - Rue l'Hôtel des Postes (Alberti),0
300022086,Le Broc - Pont Nucéra,3
300022087,Nice - Rue du Maréchal Joffre,0
300022088,Nice - Promenade des Anglais (Gambetta),1
300022090,Nice - Pont Napoléon III,0
300022091,Nice - Promenade des Anglais (Centenaire),0
300022092,Nice - Promenade Corniglion Molinier,0
300022093,Nice - Quai des Etats-Unis,0
300022097,Nice - Rue Blacas,0
300022098,Nice - Rue Chauvain,0
300022099,Nice - Rue du Congrès,0
300022100,Nice - Rue Paganini,1
300022101,St Laurent du Var - Promenade Maïcon,0
300022107,Nice - Promenade des Anglais (Bosquets),1
300022108,St Laurent du Var - Promenade Alain Gerbault,0
300022166,Saint Benoit - site vallée Mouton,1
300022185,Bron_J.Mermoz_L.Terray_ID660-661_,1
300022398,Pont de la Cèpe,2
300022399,André CARRETE,1
300022400,bd strasbourg prefecture,0
300022401,carrefour Dresser,1
300022402,eugene mopin,0
300022403,francois premier,0
300022404,jean jaures,1
300022405,joliot curie,1
300022406,le ponant plage,0
300022407,mendes france,1
300022408,montivilliers,0
300022409,raoul duval,0
300022410,rogerville,0
300022411,Southampton,0
300022412,ste adresse,0
300022413,strasbourg,1
300022414,tunnel jenner nord,1
300022415,tunnel jenner sud,1
300022416,voie verte rouelle,0
300022417,Quai Colbert,0
300022418,RD147,0
300022419,RD940,0
300022420,Rue du 329 ème / cimetière ,1
300022421,Auguste le Conte,0
300022422,RD6015,2
300022423,Rue du 329ème,1
300022425,Georges Lafaurie,1
300022426,fontaine la mallet,3
300022427,harfleur,1
300022461,Carspach,2
300022463,Ile du Rhin,2
300022465,Guewenheim,3
300022466,Ebersheim,3
300022467,Dannemarie,2
300022468,Wolfisheim,0
300022469,Wittisheim,2
300022470,Nordhouse,3
300022473,Liepvre,3
300022478,Haguenau sud,3
300022490,St Leu La Foret,0
300022547,Aiffres V93,0
300022549,Chauray V94,3
300022550,St Maixent Ecole V94,3
300022584,Domfront,2
300022585,Rives-d'Andaines (Couterne),2
300022586,Valframbert,2
300022623,Oiselet Nord (EV17),2
300022625,Caderousse Sud (EV17),2
300022626,Halte fluviale (EV17),2
300022627,Cavaillon Dorio (EV8),2
300022642,La Meilleraye-De-Bretagne,2
300022643,Trignac (RD 144p),1
300022673,Limbert,1
300022674,Pont Daladier Vélos,0
300022677,Chalampé,3
300022784,Lyon 5_Pont Maréchal Juin_ID809-810,1
300022785,Lyon 7_Jean Jaurès_Gerland_ ID461-462_EVO_,1
300022786,Sommieres,3
300022797,Ecuisses 5eme ecluse,2
300022798,Chagny - Rully,2
300022799,charnay,2
300022800,gare cluny,2
300022801,Givry,2
300022802,Paris l'Hôpital,2
300022803,saint yan,2
300022804,Saint-Germain-du-Plain,3
300022805,Tunnel du bois Clair ,2
300022806,vitry en charolais,2
300022807,VV ST GENGOUX LE NAL,2
300022820,Dunières,2
300022821,Montfaucon,2
300022823,Riotord,2
300022824,Bessamorel,2
300022825,Yssingeaux,2
300022826,ANNONAY,2
300022827,Saint-Marcel,3
300022903,Bd Guy Mollet vers SUD (CV1042),1
300022904,Bd Guy Mollet vers Nord (CV1041),1
300023022,Augy,2
300023026,Monéteau,2
300023028,Lucy,2
300023029,Merry,2
300023030,Vincelles,2
300023047,(Pont de Claix) PEM l'Etoile - Afficheur,1
300023048,(SMLV) Pont d'Oxford - Afficheur,1
300023231,Pompierre,2
300023232,Esnans,2
300023234,Trévoux Estacade Est Piétons Vélos,3
300023259,Sète Voie Verte,3
300023260,Marseillan V8,2
300023312,Vénissieux_F.Pressensé_G.Lévy_ID662-663,1
300023313,Vénissieux_Bld J.Curie_P.Jaillet_ID1599-1600_,1
300023317,LxL_Belle Etoile,1
300023318,LxL_Buissonnier,1
300023323,SN_Rte de la Cote d'Amour (Ex RD92),1
300023326,SN_Bld de la fraternité (N°10),1
300023328,SN_Bld Leferme (Ville Halluard),1
300023329,SN_Pont de la Matte (Est),0
300023330,SN_Pont de la Matte (Ouest),0
300023332,Piste Dpt-SMG (Rue du Pin),1
300023351,(Saint Martin d'Hères) Campus universitaire,1
300023363,Lyon 3_Quai Augagneur (formule),1
300023370,Lyon 3_Berges du Rhône (formule),1
300023934,Av des Minimes vers Canal,1
300023935,Av des Minimes vers Rue Jammes,1
300023936,Pont de Blagnac vers Blagnac,1
300023938,Pont de Blagnac vers Toulouse,1
300023939,Av Etienne Billières vers Place Jean Diebol,1
300023940,Av Etienne Billières vers Rue Champêtre,1
300023969,Paris | Quai des Tuileries,1
300024269,Echillais,3
300024495,05 Montélimar vélos,2
300024496,03 EPERVIERE VELOS,0
300025027,Viaduc Brassilly,1
300025028,Argonay,1
300025029,Epagny,0
300025030,Héry sur Alby,0
300025031,P C Av du Rhone,1
300025032,Route des Creuses,1
300025033,Talloires,2
300025226,EV4 Douvenant,3
300025265,48 rue de tregueux,1
300025418,Saint loup hors,3
300025475,Grandcamp-maisy,2
300025591,La guisane,2
300025612,Av. Antoine de St Exupéry impaire,1
300025614,"Av. Camille Pujol - 17, 31500 Toulouse",1
300025615,"Av. Camille Pujol - 12, 31500 Toulouse",1
300025616,"Av. de Grande Bretagne - 25, 31300 Toulouse",1
300025617,"Av. de Grande Bretagne - 30, 31300 Toulouse",1
300025618,Av. Jean Rieux impaire,1
300025619,Av. Jean Rieux paire,1
300025621,Av. Saint Exupery paire,1
300025622,"Rte de Saint-Simon - 392, 31300 Toulouse",1
300025623,"Rte de Saint-Simon - 397, 31300 Toulouse",1
300025652,Chouilly,2
300025653,mont aime,3
300026176,VANNES - EcoDisplay Tohannic,0
300027058,Sierck les Bains,2
300027613,Avenue de Bretagne,3
300027621,passerelle,3
300028223,Les Andelys,3
300028224,Sainte Opportune la Mare,2
300028226,Heudebouville - Lormais,3
300028227,Martot,3
300028397,RUE-RD991-Pont Chatou-Sud,1
300028405,Thann,2
300028406,Wintzenheim,2
300028407,Buhl,0
300028408,Drulingen,3
300028622,Réseau Vert 02 - St-Sauveur,3
300028819,Villevêque - Vallée du Loir à vélo,3
300028854,Av d Arches dir CHA,0
300028855,Av d Arches dir HDV,1
300028857,Place Bozzi,0
300028858,Pont de la Victoire,1
300028859,Voie verte Mohon>Picasso - Parking Picasso,0
300028860,Voie verte Passerelle MAZARIN,0
300029083,"Annecy, Quai Eustache Chappuis",0
300029166,Passerelle RD50_Les Combes,2
300029170,Briouze,3
300029172,Magny-le-Désert,3
300029174,Forêt des Andaines,3
300029599,Chalette-Sur-Loing,3
300029851,Le Châtellier,3
300029853,Fumeçon,2
300029863,Poses,3
300029873,17_pont_ronce,2
300029938,EV8,2
300029972,Chambellay,3
300029973,saint mathurin,2
300029974,voie verte montreuil-angers,0
300030033,GR Liziec - Séné,3
300030035,Pointe de Becudo - Sarzeau,2
300030036,Vieux Pont - Le Bono,2
300030038,Tour du Bourg - Plescop,3
300030044,Route de Beauvoir,2
300030045,Allée du Couesnon,2
300030046,Route Ardevon,2
300030050,DRID_V45_RD2_Pont-l'Abbé_Pcy_Bidir_Rte_Loctudy,2
300030067,Gare St Mars du Désert,3
300030068,Gautrie Petit Mars,0
300030069,Montagné Les Touches,3
300030070,Procé Sucé sur Erdre,3
300030071,RD26 Bellevue Grandchamp des F.,1
300030123,Vernosc,2
300030129,Lyon 2_Rambaud_C.Collonge_EVO,1
300030158,Piste cyclable Poitiers - Mignaloux,0
300030159,poitiers fontaine,0
300030276,Passerelle Ile Balzac,0
300030278,Rue Émile Baudot,0
300030316,Portes Léonardsau,3
300030360,SàV (Hautot sur Seine),3
300030361,SàV (Elbeuf),0
300030363,SàV (Belbeuf),3
300030364,Forges les eaux,3
300030366,Gonfreville l'Orcher,2
300030384,Rochefort lagunage,3
300030572,Parc Gallamé,0
300030573,Voie verte rue du pont de pierre Gravelines,2
300030574,Piste av de la libération vers ville,0
300030575,Piste avenue de la Libération vers plage,0
300030576,Piste av. de la mer vers ville,0
300030577,Piste Av. de le mer vers plage,3
300030578,Voie verte boulevard des Fédérés,0
300030580,Voie verte quai de la Batellerie Gravelines,3
300030587,74 av de romans,1
300030588,Av Marseille,1
300030589,Bd des Alpes,0
300030590,Churchill 1,1
300030591,Churchill 2,1
300030592,Jaurès 1,1
300030593,Jaurès 2,1
300030594,Liberation,1
300030595,Mauboule,2
300030596,PN19,0
300030598,Pont Mistral Gambetta,0
300030600,Pont Mistral Guilherand Granges,1
300030601,Rue des Alpes,1
300030602,République 1,0
300030603,République 2,1
300030635,136 Bld G Leclerc OUT-S1  4017,1
300030636,14 Av du 18 Juin 1940 S1,1
300030638,180 Av Jean Jaurès S1 / OUT  4020,1
300030639,227 Rue Jean Jaurès  S2 / IN 4020,1
300030640,36 Av  Jean Lolive OUT/S1  4018,1
300030641,Av  Jean Lolive  IN / S2  4018,1
300030642,Bld G Leclerc  OUT-S1 ET IN-S2  4017,1
300030643,Face au 14 Av de 18 juin 1940  S2,1
300030644,Livry Gargan RD970 95(ecole) S1 / OUT 4023,1
300030645,Livry Gargan RD970 N° 92   S2/IN  4023,1
300030667,Hinsingen,2
300030669,Ottmarsheim,2
300030705,05_allee des Paons,2
300030706,07_talmont_pedestre/vtc,2
300030708,10_RD 25,2
300030709,11_DFCI Les Combots,2
300030710,13_La Palmyre - résidences,3
300030711,14_LaPalmyre-hippodrome,0
300030713,16_La Palmyre-quads,2
300030714,18_L'Eguille-chemin des carrelets,3
300030716,22_Pont Ronce 2,2
300030793,Pullay,2
300030794,Gisors - Route de Bazincourt,0
300030811,Avenue de la Marne,1
300030812,Av de seville 2,1
300030813,Av de Séville,3
300030824,Montauban,3
300030825,Nohic,3
300030828,Bressols,3
300030842,Lyon 9_L.Dieblod_Claire_3G_EN TRAVAUX,1
300030895,Lyon 4_Pont Clémenceau_Radar,1
300030898,Lyon 7_Pont Gallieni_Radar,1
300031095,Passerelle Le Vanneau Irleau,3
300031124,Montpellier | Quai des tanneurs,1
300031126,Montpellier | D5 - Juvignac,0
300031128,Montpellier | Avenue du Pirée,1
300031130,Montpellier | D185 - Villeneuve-lès-Maguelone,2
300031131,Montpellier | Route de Ganges,1
300031132,Montpellier | Avenue Einstein,1
300031133,Montpellier | Route de Montpellier - Grabels,1
300031135,Montpellier | Avenue George Frêche - Pérols,1
300031136,Montpellier | Allée de l'Europe - Juvignac,1
300031138,Montpellier | Allée de la Méditerrannée,0
300031141,Montpellier | Rue Professeur Léon Vallois,1
300031143,Montpellier | D21 Jacou - Jacou,0
300031153,Hourdin voie verte,3
300031154,Lieu dit Gerard,0
300031155,Pavillon voie verte,3
300031181,AVIGNONET,2
300031182,CASTANET,3
300031191,Tergnier,2
300031211,Port Maubert Digue,2
300031352,Paris | 163 boulevard Brune SE-NO,1
300031355,Bordeaux | Totem,1
300031356,Paris | 24 boulevard Jourdan E-O,1
300031359,Paris | 27 boulevard Davout N-S,1
300031360,Voie verte - Parking cinéma,2
300031362,Paris | 42 boulevard Soult,1
300031363,Paris | 51 boulevard du Général Martial Valin SE-NO,1
300031364,Paris | 56 boulevard Kellermann E-O,1
300031365,Paris | 72 boulevard Brune NO-SE,1
300031366,Paris | 77 boulevard Masséna,1
300031367,Paris | 81 boulevard Mortier,1
300031368,Paris | 9 boulevard Jourdan O-E,1
300031369,Paris | 98 boulevard Poniatowski,1
300031370,Paris | Face au 49 boulevard du Général Martial Valin,1
300031386,Saint Léonard des Bois,3
300031393,V44 Multi fille,3
300031407,Le Cheylard Eyrieux,2
300031688,Voie Verte Le Vaudreuil,3
300031689,Voie Verte les Damps rte Eure,2
300031690,Voie Verte Louviers Canal,2
300031691,Voie Verte SEV Metairie,3
300031875,Mimizan Papeterie,2
300031879,Arandon,2
300031880,Dizimieu,3
300031881,Vernas,2
300032000,"Etang de Mateille, Gruissan",2
300032097,Noeveillard / Juin,0
300032099,voie verte gare Pornic,0
300032101,La Plaine - voie verte,3
300032102,Moulin Berland,3
300032673,Cordemais,3
300032690,VV COUTENS,3
300032896,Piste cyclable Av. Jean Moulin,0
300032957,Honfleur - Bassin des chasses,2
300032964,Cuis - Eglise,2
300032967,Le Mesnil-sur-Oger - Aire de loisirs des Patis,1
300032968,Magenta - Bord de Marne,2
300033248,Bonneau-Buzançais,3
300033249,Chatillon-Sur-Indre,2
300033250,Nohant-Vic,2
300033251,Pont Gütersloh - Châteauroux,3
300033256,Azay-le-Rideau Marnay,2
300033257,Veigné,3
300033752,Ferriere En Bray,2
300033789,Carpentras sud P/V (Venaissia),2
300033969,76260 Eu,3
300033970,76260 Saint-Rémy-Boscrocourt,3
300034321,Carrefour Parc des Expositions,1
300034326,HEROUVILLE SAINT CLAIR – RD60/RD401,1
300034838,Vallée du Coran St Césaire (impasse de la Montée verte),3
300034914,Barthelasse P/V (EV17 Avignon),2
300034915,Cheval Blanc (Autour Luberon),2
300034916,Pernes les Fontaines P/V (Venaissia),2
300034917,Velleron (Via Venaissia),2
300035376,V MARITIME (Etretat RD11),0
300035578,AVVLP (Dieppe),0
300035699,V MARITIME ( Tréport RD126),2
300035701,V MARITIME (Dieppe RD75),2
300035702,V MARITIME (Fécamp chemin des falaises),2
300035704,V MARITIME (Fécamp RD79),2
300035705,V MARITIME (RD 113 entre Belleville/Mer - Braquemont),2
300035706,V MARITIME PN12 (Froberville),0
300035708,VRLIN PN45 (Bosville),3
300035710,VRLIN PN51 (Cany Barville),3
300035711,VRLIN PN63 (Valmont),2
300035712,VRLIN PN82 (Fécamp),2
300036204,Lyon 6_Pont de Lattre de Tassigny,1
300036205,Lyon 2_Pont de la Mulatière,1
300036206,Lyon 6_Grande Bretagne,1
300036207,Lyon 7_Raoul Servant,1
300036208,Lyon 7_Leclerc,1
300036253,Chaumont sur Loire,2
300036256,Lac de Loire,2
300036352,EV8 Flayosc,3
300036353,EV8 Ponteves,2
300036354,EV8 Seillans,3
300036355,EV8 Varages,2
300036356,V65 Rayol (Malpagne),2
300036428,ViaRhôna Barrage Sauveterre,2
300036429,Jonquières P/V (Venaissia),2
300036582,Lyon 3_Saxe,1
300036616,RD10 Les Odiberts,2
300036621,fresnes sur escaut,3
300036622,vieux conde,2
300036625,Merignies vélo,3
300036626,Thumeries vélo,3
300036627,Cappelle en Pévèle,3
300036628,"Abscon, accès Rue du 11 Novembre",3
300036630,Marchiennes,3
300036631,Beuvry la Forêt,3
300036632,Orchies vélo,3
300036915,Saint Denis-sur-Sarthon,3
300036918,Montpellier | Rue du Mas Nouguier,1
300036919,Montpellier | Route de Nîmes,1
300036920,Montpellier | Clos l'armet,1
300036922,Montpellier | Colonel Pavelet,1
300036923,Montpellier | Cournonsec,3
300036926,Montpellier | Rue du Faubourg Figuerolles,1
300036927,Montpellier | Rue Gerhardt,1
300036928,Montpellier | Rue FJ Gossec,1
300036929,Montpellier | Av Jean Mermoz,1
300036932,Montpellier | Avenue George Frêche vers Montpellier,1
300036934,Montpellier | Avenue de Lodève,1
300036937,Montpellier | Chemin des Lèques,0
300036967,Montpellier | Lattes - Mas de Gau,0
300036970,Montpellier | Montferrier D17 vers Montpellier,1
300036971,Montpellier | Av du Père Soulas,1
300036972,Montpellier | Bd Renouvier,1
300036975,Montpellier | Av Vincent Auriol - Plan des 4 seigneurs,1
300036981,Montpellier | Bd Vieussens,1
300036985,Montpellier | Av François Delmas,1
300036990,Montpellier | Av de la Pompignane,1
300036991,Montpellier | 40 Rue du Faubourg Saint Jaumes,1
300036992,Montpellier | 14 Rue du du Faubourg Saint Jaumes,1
300036996,Montpellier | Av Georges Frêche,1
300037561,La faille,3
300037563,Mireval,3
300037779,Erstein,1
300037879,CD66 | Cases-de-Pêne,0
300037910,Belvédère,3
300037984,TOTEM Rue Jeanne d'Arc,1
300037985,Rue Jeanne d'Arc,1
300037986,Thermal (Avenue du Maréchal Juin),1
300038168,Maindreville,3
300038380,Passerelle d'Olivet,1
300038381,Passerelle de la Hartière,1
300038384,Piste Av. Jean ZAY Est,1
300038385,Piste Av. Jean ZAY Ouest,1
300038386,Piste Rte d'Orléans,1
300038387,Pont Cotelle bande cyclable,1
300038388,Pont Cotelle piste mixte Ouest,1
300038390,Pont de l'EUROPE Est,1
300038391,Pont de l'EUROPE Ouest,0
300038392,Pont George V (Chaussée Est),0
300038393,Pont George V (Piste cyclable),1
300038394,Pont St NICOLAS,0
300038395,Pont Thinat,1
300038396,Recherche Scientifique,1
300038397,Bois de l'Ile,3
